/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 72: STARTS_SINCE: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 95: local: can only be used in a function
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 96: msg: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 37: [: 0
0: integer expression expected
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 41: [: 0
0: integer expression expected
11:27:01 — OK — 正常 | PID 2340258 | Feishu=none
[Hermes Guardian 19:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
19:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:30:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:30:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:42:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:42:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:48:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:48:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 20:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
20:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:30:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:30:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:42:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:42:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:48:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:48:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 21:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
21:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:00:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:00:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:15:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:15:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:30:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:30:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:42:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:42:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:48:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:48:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 22:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
22:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:30:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:30:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:42:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:42:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:48:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:48:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 23:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
23:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:30:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:30:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:42:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:42:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:48:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:48:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 00:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
00:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:03:02]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:03:02 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:21:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:21:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:24:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:24:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:27:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:27:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:30:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:30:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:33:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:33:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:36:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:36:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:39:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:39:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:42:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:42:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:45:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:45:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:48:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:48:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:51:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:51:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:54:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:54:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 01:57:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
01:57:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:00:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:00:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:03:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:03:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:06:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:06:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:09:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:09:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:12:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:12:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:15:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:15:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:18:01]
【WARNING】hermes-gateway
openclaw-gateway 离线（备用系统）
进程: yes（PID 2362153）
openclaw: no（PID N/A）
02:18:01 — WARNING — openclaw-gateway 离线（备用系统）
[Hermes Guardian 02:21:01]
【WARNING】hermes-gateway
